이름,가격 요약(자동),가슴,구매가,구매일,높이,다리길이,둘레길이,렌즈길이,밑단,밑위,보유,브랜드,브릿지길이,사이즈 요약,상위 카테고리,색상,소매,신발 사이즈,어깨,옵션,정가,제품 요약(자동),챙길이,총장,최종 편집 일시,카테고리,폭,허리,허벅지
플란넬체크셔츠(긴팔·레귤러칼라)F,"39,900원  (39,900원)",60,"39,900",2023년 12월 16일,,,,,,,Yes,유니클로,,총장 75 / 어깨 50 / 가슴 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,,,50,L,"39,900",유니클로 / L,,75,2025년 1월 2일 오후 1:54,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
Madison Ombre Check Shirt BLACK,"160,440원  (186,200원)",60,"160,440",2024년 9월 10일,,,,,,,Yes,홀리선,,총장 77 / 어깨 57 / 가슴 60 / 소매 62,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,62,,57,M,"186,200",홀리선 / M,,77,2024년 12월 11일 오전 10:10,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
MARYAM GRAINY - 647 (a) VIBRAM,"269,500원  (389,000원)",,"269,500",2024년 2월 22일,,,,,,,Yes,킨치,,신발 사이즈 265,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),블랙,,265,,265,"389,000",킨치 / 265,,,2024년 12월 11일 오전 10:24,구두 (https://www.notion.so/158abb41507c80eaaa1dc74501ded78b?pvs=21),,,
ITALIAN WOOL SILK DOUBLE TIE (GREY),"60,800원  (97,200원)",,"60,800",2024년 11월 12일,,,,,,,Yes,델디오,,폭 6 / 총장 148,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),블랙,,,,F,"97,200",델디오 / F,,148,2024년 12월 11일 오전 10:23,넥타이 (https://www.notion.so/158abb41507c80989bf7ef6e830d6559?pvs=21),6,,
"Longgrove Toggle Wool Hood Coat Melange Beige ","463,000원  (489,000원)",64,"463,000",2023년 11월 20일,,,,,,,Yes,홀리선,,총장 105 / 가슴 64 / 소매 88,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),브라운,88,,0,M,"489,000",홀리선 / M,,105,2025년 1월 2일 오전 11:03,코트 (https://www.notion.so/158abb41507c80af8993de9c9dbb6102?pvs=21),,,
"Raglan belted Coat ","758,000원  (758,000원)",65,"758,000",2023년 10월 23일,,,,,,,Yes,비앤테일러,,총장 115 / 가슴 65 / 소매 78,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),블루/네이비,78,,0,M,"758,000",비앤테일러 / M,,115,2025년 1월 2일 오전 11:44,코트 (https://www.notion.so/158abb41507c80af8993de9c9dbb6102?pvs=21),,,
Winterport Wool Coat Dark Navy,"419,300원  (475,000원)",64,"419,300",2024년 11월 20일,,,,,,,Yes,홀리선,,총장 112 / 가슴 64 / 소매 87,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),블랙,87,,0,M,"475,000",홀리선 / M,,112,2024년 12월 11일 오전 10:07,코트 (https://www.notion.so/158abb41507c80af8993de9c9dbb6102?pvs=21),,,
"WOOL CORDURA TAILORED JACKET (CHARCOAL GREY) ","201,100원  (298,000원)",114,"201,100",2023년 11월 14일,,,,,,,Yes,델디오,,총장 74 / 어깨 48.8 / 가슴 114 / 소매 61,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),그레이/실버,61,,48.8,M,"298,000",델디오 / M,,74,2025년 1월 2일 오전 11:37,블레이저 (https://www.notion.so/158abb41507c80ea8dc0e1212143ac28?pvs=21),,,
"스테이 블레이저 오트밀 ","86,400원  (108,000원)",58.5,"86,400",2021년 5월 14일,,,,,,,Yes,이드,,총장 73 / 어깨 49 / 가슴 58.5 / 소매 61,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),베이지,61,,49,M,"108,000",이드 / M,,73,2025년 1월 2일 오전 11:31,블레이저 (https://www.notion.so/158abb41507c80ea8dc0e1212143ac28?pvs=21),,,
Club Jacket Black,"278,000원  (278,000원)",120,"278,000",2024년 2월 19일,,,,,,,Yes,러프사이드,,총장 73 / 어깨 49.5 / 가슴 120 / 소매 61.5,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),블랙,61.5,,49.5,2,"278,000",러프사이드 / 2,,73,2025년 12월 27일 오후 1:31,블레이저 (https://www.notion.so/158abb41507c80ea8dc0e1212143ac28?pvs=21),,,
Vincent m1965 fishtail parka 004 _ taupe,"169,300원  (219,000원)",68,"169,300",2023년 9월 19일,,,,,,,Yes,프리즘웍스,,총장 109.5 / 어깨 57.5 / 가슴 68 / 소매 65,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),베이지,65,,57.5,M,"219,000",프리즘웍스 / M,,109.5,2025년 1월 2일 오전 11:15,야상 (https://www.notion.so/158abb41507c80e28bc9d1005dea3971?pvs=21),,,
10 MILITARY JACKET (olive),"252,800원  (288,000원)",57,"252,800",2023년 8월 30일,,,,,,,Yes,부기홀리데이,,총장 74.5 / 어깨 49 / 가슴 57 / 소매 61,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),올리브/그린,61,,49,L,"288,000",부기홀리데이 / L,,74.5,2025년 1월 2일 오전 11:06,야상 (https://www.notion.so/158abb41507c80e28bc9d1005dea3971?pvs=21),,,
Hill Parka Oatmeal,"196,200원  (218,000원)",0,"196,200",2024년 1월 6일,,,,,,,Yes,러프사이드,,총장 71 / 어깨 55 / 소매 60.5,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),화이트,60.5,,55,2,"218,000",러프사이드 / 2,,71,2025년 12월 27일 오후 1:32,야상 (https://www.notion.so/158abb41507c80e28bc9d1005dea3971?pvs=21),,,
